vr 3 apr 2020 20:00:02 CEST , 13 Beschikbaar , 4 Bellers , 12 Chatters , 8 Bezet , 84 Offline
vr 3 apr 2020 20:15:02 CEST , 11 Beschikbaar , 6 Bellers , 9 Chatters , 10 Bezet , 84 Offline
vr 3 apr 2020 20:30:01 CEST , 11 Beschikbaar , 4 Bellers , 10 Chatters , 10 Bezet , 84 Offline
vr 3 apr 2020 20:45:02 CEST , 12 Beschikbaar , 3 Bellers , 11 Chatters , 7 Bezet , 86 Offline
vr 3 apr 2020 21:00:02 CEST , 12 Beschikbaar , 4 Bellers , 9 Chatters , 7 Bezet , 86 Offline
vr 3 apr 2020 21:15:02 CEST , 7 Beschikbaar , 4 Bellers , 4 Chatters , 10 Bezet , 88 Offline
vr 3 apr 2020 21:30:01 CEST , 10 Beschikbaar , 6 Bellers , 8 Chatters , 7 Bezet , 88 Offline
vr 3 apr 2020 21:45:02 CEST , 10 Beschikbaar , 5 Bellers , 8 Chatters , 8 Bezet , 87 Offline
vr 3 apr 2020 22:00:02 CEST , 13 Beschikbaar , 7 Bellers , 11 Chatters , 4 Bezet , 88 Offline
vr 3 apr 2020 22:15:02 CEST , 8 Beschikbaar , 5 Bellers , 5 Chatters , 8 Bezet , 89 Offline
vr 3 apr 2020 22:30:01 CEST , 9 Beschikbaar , 6 Bellers , 6 Chatters , 6 Bezet , 90 Offline
vr 3 apr 2020 22:45:02 CEST , 7 Beschikbaar , 3 Bellers , 4 Chatters , 6 Bezet , 92 Offline
vr 3 apr 2020 23:00:02 CEST , 9 Beschikbaar , 5 Bellers , 7 Chatters , 5 Bezet , 91 Offline
vr 3 apr 2020 23:15:01 CEST , 6 Beschikbaar , 2 Bellers , 5 Chatters , 8 Bezet , 91 Offline
vr 3 apr 2020 23:30:03 CEST , 5 Beschikbaar , 1 Bellers , 4 Chatters , 6 Bezet , 94 Offline
vr 3 apr 2020 23:45:02 CEST , 4 Beschikbaar , 1 Bellers , 3 Chatters , 5 Bezet , 96 Offline
za 4 apr 2020 0:00:01 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 7 Bezet , 96 Offline
za 4 apr 2020 0:15:02 CEST , 3 Beschikbaar , 1 Bellers , 3 Chatters , 6 Bezet , 96 Offline
za 4 apr 2020 0:30:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 6 Bezet , 98 Offline
za 4 apr 2020 0:45:01 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 5 Bezet , 99 Offline
za 4 apr 2020 1:00:02 CEST , 2 Beschikbaar , 1 Bellers , 2 Chatters , 4 Bezet , 99 Offline
za 4 apr 2020 1:15:02 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 4 Bezet , 98 Offline
za 4 apr 2020 1:30:01 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 3 Bezet , 99 Offline
za 4 apr 2020 1:45:02 CEST , 3 Beschikbaar , 1 Bellers , 2 Chatters , 3 Bezet , 99 Offline
za 4 apr 2020 2:00:02 CEST , 2 Beschikbaar , 1 Bellers , 1 Chatters , 3 Bezet , 100 Offline
za 4 apr 2020 2:15:02 CEST , 1 Beschikbaar , 0 Bellers , 1 Chatters , 2 Bezet , 102 Offline
za 4 apr 2020 9:15:03 CEST , 5 Beschikbaar , 4 Bellers , 3 Chatters , 4 Bezet , 96 Offline
za 4 apr 2020 9:30:03 CEST , 4 Beschikbaar , 4 Bellers , 2 Chatters , 5 Bezet , 96 Offline
za 4 apr 2020 9:45:02 CEST , 3 Beschikbaar , 2 Bellers , 3 Chatters , 8 Bezet , 94 Offline
za 4 apr 2020 10:00:02 CEST , 6 Beschikbaar , 3 Bellers , 5 Chatters , 8 Bezet , 91 Offline
za 4 apr 2020 10:15:01 CEST , 7 Beschikbaar , 3 Bellers , 6 Chatters , 7 Bezet , 91 Offline
za 4 apr 2020 10:30:02 CEST , 5 Beschikbaar , 2 Bellers , 4 Chatters , 9 Bezet , 91 Offline
za 4 apr 2020 10:45:02 CEST , 10 Beschikbaar , 5 Bellers , 9 Chatters , 6 Bezet , 89 Offline
za 4 apr 2020 11:00:01 CEST , 11 Beschikbaar , 5 Bellers , 9 Chatters , 9 Bezet , 85 Offline
za 4 apr 2020 11:15:02 CEST , 12 Beschikbaar , 4 Bellers , 10 Chatters , 5 Bezet , 88 Offline
za 4 apr 2020 11:30:03 CEST , 12 Beschikbaar , 5 Bellers , 10 Chatters , 5 Bezet , 88 Offline
za 4 apr 2020 11:45:02 CEST , 13 Beschikbaar , 5 Bellers , 10 Chatters , 3 Bezet , 89 Offline
za 4 apr 2020 12:00:02 CEST , 14 Beschikbaar , 5 Bellers , 12 Chatters , 1 Bezet , 90 Offline
za 4 apr 2020 12:15:01 CEST , 11 Beschikbaar , 4 Bellers , 9 Chatters , 6 Bezet , 88 Offline
za 4 apr 2020 12:30:02 CEST , 12 Beschikbaar , 6 Bellers , 10 Chatters , 4 Bezet , 89 Offline
za 4 apr 2020 12:45:03 CEST , 14 Beschikbaar , 6 Bellers , 12 Chatters , 2 Bezet , 89 Offline
za 4 apr 2020 13:00:02 CEST , 14 Beschikbaar , 6 Bellers , 11 Chatters , 2 Bezet , 89 Offline
za 4 apr 2020 13:15:02 CEST , 13 Beschikbaar , 6 Bellers , 10 Chatters , 2 Bezet , 87 Offline
za 4 apr 2020 13:30:01 CEST , 13 Beschikbaar , 7 Bellers , 9 Chatters , 4 Bezet , 81 Offline
za 4 apr 2020 13:45:02 CEST , 10 Beschikbaar , 5 Bellers , 6 Chatters , 4 Bezet , 81 Offline
za 4 apr 2020 14:00:03 CEST , 10 Beschikbaar , 5 Bellers , 6 Chatters , 6 Bezet , 77 Offline
za 4 apr 2020 14:15:01 CEST , 10 Beschikbaar , 4 Bellers , 6 Chatters , 5 Bezet , 77 Offline
za 4 apr 2020 14:30:02 CEST , 12 Beschikbaar , 3 Bellers , 9 Chatters , 4 Bezet , 76 Offline
za 4 apr 2020 14:45:02 CEST , 10 Beschikbaar , 2 Bellers , 8 Chatters , 4 Bezet , 78 Offline
za 4 apr 2020 15:00:01 CEST , 12 Beschikbaar , 3 Bellers , 9 Chatters , 3 Bezet , 77 Offline
za 4 apr 2020 15:15:02 CEST , 11 Beschikbaar , 3 Bellers , 9 Chatters , 4 Bezet , 77 Offline
za 4 apr 2020 15:30:02 CEST , 10 Beschikbaar , 2 Bellers , 8 Chatters , 5 Bezet , 77 Offline
za 4 apr 2020 15:45:01 CEST , 9 Beschikbaar , 4 Bellers , 7 Chatters , 7 Bezet , 77 Offline
za 4 apr 2020 16:00:02 CEST , 12 Beschikbaar , 5 Bellers , 10 Chatters , 4 Bezet , 77 Offline
za 4 apr 2020 16:15:02 CEST , 13 Beschikbaar , 7 Bellers , 9 Chatters , 4 Bezet , 76 Offline
za 4 apr 2020 16:30:02 CEST , 12 Beschikbaar , 5 Bellers , 8 Chatters , 3 Bezet , 78 Offline
za 4 apr 2020 16:45:01 CEST , 10 Beschikbaar , 4 Bellers , 7 Chatters , 5 Bezet , 78 Offline
za 4 apr 2020 17:00:02 CEST , 12 Beschikbaar , 5 Bellers , 9 Chatters , 3 Bezet , 79 Offline
za 4 apr 2020 17:15:01 CEST , 16 Beschikbaar , 7 Bellers , 13 Chatters , 5 Bezet , 73 Offline
za 4 apr 2020 17:30:02 CEST , 11 Beschikbaar , 5 Bellers , 8 Chatters , 8 Bezet , 75 Offline
za 4 apr 2020 17:45:02 CEST , 13 Beschikbaar , 6 Bellers , 10 Chatters , 6 Bezet , 75 Offline
za 4 apr 2020 18:00:01 CEST , 15 Beschikbaar , 8 Bellers , 11 Chatters , 2 Bezet , 77 Offline
za 4 apr 2020 18:15:03 CEST , 10 Beschikbaar , 4 Bellers , 9 Chatters , 7 Bezet , 77 Offline
za 4 apr 2020 18:30:01 CEST , 11 Beschikbaar , 4 Bellers , 10 Chatters , 4 Bezet , 79 Offline
za 4 apr 2020 18:45:02 CEST , 6 Beschikbaar , 4 Bellers , 5 Chatters , 8 Bezet , 80 Offline
za 4 apr 2020 19:00:02 CEST , 9 Beschikbaar , 5 Bellers , 8 Chatters , 7 Bezet , 78 Offline
za 4 apr 2020 19:15:01 CEST , 12 Beschikbaar , 7 Bellers , 10 Chatters , 5 Bezet , 77 Offline
za 4 apr 2020 19:30:03 CEST , 12 Beschikbaar , 6 Bellers , 10 Chatters , 5 Bezet , 77 Offline
za 4 apr 2020 19:45:02 CEST , 12 Beschikbaar , 8 Bellers , 10 Chatters , 6 Bezet , 76 Offline
za 4 apr 2020 20:00:02 CEST , 12 Beschikbaar , 6 Bellers , 11 Chatters , 6 Bezet , 76 Offline
za 4 apr 2020 20:15:01 CEST , 13 Beschikbaar , 6 Bellers , 11 Chatters , 7 Bezet , 74 Offline
za 4 apr 2020 20:30:02 CEST , 14 Beschikbaar , 7 Bellers , 12 Chatters , 6 Bezet , 74 Offline
za 4 apr 2020 20:45:02 CEST , 12 Beschikbaar , 6 Bellers , 10 Chatters , 8 Bezet , 74 Offline
za 4 apr 2020 21:00:01 CEST , 10 Beschikbaar , 4 Bellers , 9 Chatters , 9 Bezet , 75 Offline
za 4 apr 2020 21:15:02 CEST , 12 Beschikbaar , 4 Bellers , 11 Chatters , 8 Bezet , 74 Offline
za 4 apr 2020 21:30:02 CEST , 11 Beschikbaar , 5 Bellers , 10 Chatters , 10 Bezet , 73 Offline
za 4 apr 2020 21:45:01 CEST , 13 Beschikbaar , 7 Bellers , 11 Chatters , 10 Bezet , 71 Offline
za 4 apr 2020 22:00:02 CEST , 15 Beschikbaar , 6 Bellers , 13 Chatters , 5 Bezet , 74 Offline
za 4 apr 2020 22:15:02 CEST , 11 Beschikbaar , 5 Bellers , 10 Chatters , 9 Bezet , 74 Offline
za 4 apr 2020 22:30:01 CEST , 11 Beschikbaar , 5 Bellers , 9 Chatters , 8 Bezet , 75 Offline
